"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Teikyo Heisei University,Tokyo,Medium,Yes,"Health sciences, life sciences, pharmacy, computing, and management programs with lab emphasis.","April, September",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Science,Tokyo,Medium,Yes,"Private university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences.","April, September",Day,Partial,"BA, BSc, BEng, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Agriculture and Technology,Tokyo,Medium,Yes,"Offers computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs emphasized.","April, September",Day,Partial,"BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Foreign Studies,Tokyo,Medium,Yes,"Offers social sciences, management, computing, and life sciences programs.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Health Sciences,Tokyo,Medium,Yes,"Specialized in health sciences, pharmacy, life sciences, and computing. Labs emphasized.","April, September",Day,Partial,"BPharm, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tohoku University,Sendai,High,Yes,"National university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Strong lab programs.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tohoku Pharmaceutical University,Sendai,Medium,Yes,"Specialized in pharmacy, health sciences, life sciences, and computing. Labs emphasized.","April, September",Day,Partial,"BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",University of Electro-Communications,Tokyo,Medium,Yes,"Focused on computing, IT, engineering, and applied sciences with lab and research programs.","April, October",Day,Partial,"BEng, BSc, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",University of Occupational and Environmental Health,Fukuoka,High,Yes,"Specialized in health sciences, life sciences, pharmacy, computing, and engineering. Labs emphasized.","April, October",Day,Partial,"BPharm, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",University of the Ryukyus Graduate School,Okinawa,Medium,Yes,"Offers graduate programs in computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences.","April, October",Day,Partial,"MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Wakayama Medical University,Wakayama,High,Yes,"Specialized in medicine, pharmacy, health sciences, and life sciences. Labs emphasized.","April, October",Day,Partial,"MBBS, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Yokkaichi Nursing College,Mie,Medium,Yes,"Specialized in health sciences, nursing, pharmacy, and life sciences.","April, October",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Yokkaichi Institute of Technology,Mie,Medium,Yes,"Offers computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs emphasized.","April, October",Day,Partial,"BEng, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Yamaguchi University of Human Welfare,Yamaguchi,Medium,Yes,"Offers health sciences, pharmacy, computing, engineering, and social sciences.","April, October",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kitami Institute of Technology,Hokkaido,Medium,Yes,"Offers IT, engineering, pharmacy, health sciences, life sciences, management, and social sciences.","April, October",Day,Partial,"BEng, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kyoto University,Kyoto,High,Yes,"National university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs and research emphasized.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kyoto Women's University,Kyoto,Medium,Yes,"Offers computing, management, social sciences, health sciences, and life sciences.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kyushu Dental University,Fukuoka,High,Yes,"Specialized in dentistry, pharmacy, health sciences, life sciences, and engineering.","April, September",Day,Partial,"BDS, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Meiji University,Tokyo,Medium,Yes,"Private university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs emphasized.","April, September",Day,Partial,"BA, BSc, BEng, MSc, MBA"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Nagoya University,Nagoya,High,Yes,"National university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs and research focused.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Nagoya Institute of Technology,Nagoya,Medium,Yes,"Focused on computing, IT, engineering, pharmacy, and life sciences. Labs emphasized.","April, October",Day,Partial,"BEng, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Nagoya University of Arts & Sciences,Nagoya,Medium,Yes,"Offers computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Labs included.","April, September",Day,Partial,"BA, BSc, BEng, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Niigata University of Health and Welfare,Niigata,Medium,Yes,"Offers health sciences, pharmacy, life sciences, computing, and engineering. Labs emphasized.","April, September",Day,Partial,"BPharm, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Niigata College of Nursing,Niigata,Medium,Yes,"Specialized in nursing, health sciences, life sciences, pharmacy, and computing.","April, September",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Niigata University of International and Information Studies,Niigata,Medium,Yes,"Offers computing, management, social sciences, and life sciences programs.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Osaka Dental University,Osaka,High,Yes,"Specialized in dentistry, pharmacy, health sciences, and life sciences. Labs emphasized.","April, October",Day,Partial,"BDS, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Osaka University of Health and Sport Sciences,Osaka,Medium,Yes,"Specialized in health sciences, sports, life sciences, and pharmacy. Labs emphasized.","April, September",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Seijo University,Tokyo,Medium,Yes,"Private university offering computing, management, social sciences, and life sciences programs.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",St. Lukeï¿½s International University,Tokyo,High,Yes,"Specialized in nursing, pharmacy, health sciences, and life sciences.","April, September",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Suzuka University of Medical Science,Mie,Medium,Yes,"Specialized in nursing, health sciences, pharmacy, and life sciences. Labs emphasized.","April, September",Day,Partial,"BSc, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tohoku University,Sendai,High,Yes,"National university offering computing, engineering, pharmacy, health sciences, life sciences, management, and social sciences. Strong research focus.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Agriculture,Tokyo,Medium,Yes,"Offers computing, management, social sciences, agriculture, and life sciences. Labs emphasized.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo Medical and Dental University,Tokyo,High,Yes,"National university specialized in medicine, dentistry, pharmacy, health sciences, and life sciences. Labs emphasized.","April, October",Day,Partial,"MBBS, BDS, BPharm, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of Health Sciences,Tokyo,Medium,Yes,"Offers pharmacy, health sciences, life sciences, computing, and engineering. Labs emphasized.","April, September",Day,Partial,"BPharm, BSc, MSc"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Tokyo University of the Arts,Tokyo,Medium,Yes,"Offers computing, management, social sciences, and life sciences programs. Labs included.","April, September",Day,Partial,"BA, BSc, MSc"
"Computing & IT, Engineering, Management, Social Sciences",Abasyn University,"Peshawar, Islamabad",~60%,Yes,"Offers computing, engineering tech, business, social sciences with industry?oriented labs.","Jan, Feb, Jul, Aug",Morning/Evening,No,"BS CS, BS SE, MBA, BBA, BE Civil, BE Electrical"
"General Arts, Sciences, IT",Abbottabad University of Science & Technology,Abbottabad,~55%,Yes,"Public university with focus on sciences, IT, management and arts.","Janï¿½Mar, Julï¿½Sep",Morning,Yes,"BS IT, BS Management, BS English, MS, PhD"
"Engineering, Social Sciences",Abdul Wali Khan University,Mardan,~60%,Yes,"Public research university covering sciences, engineering basics & humanities.","Febï¿½Apr, Augï¿½Oct",Morning,Yes,"BS CS, BS Physics, BS Economics"
"Health Sciences, Life Sciences",Aga Khan University,Karachi,High merit,Yes,"Top private research university with medical, nursing, and allied health sciences.","Janï¿½May, Sepï¿½Dec",Morning,Yes,"MBBS, BS Nursing, Public Health, Social Sciences"
"Engineering, IT",Air University,Islamabad,~70%,Yes,"Public sector university emphasizing engineering, IT and business education.","Janï¿½Mar, Julï¿½Aug",Morning,Yes,"BE, BS CS, MBA, MS"
"Arts, Humanities",Allama Iqbal Open University,Islamabad,Open merit,No (distance),Large public distance?learning provider with variety of programs.,Year?round,,Yes,"BA, BBA, B.Ed, MA, MPhil"
General,Bahria University,Islamabad,~65%,Yes,"Public sector with programs across sciences, management, IT, social sciences.","Janï¿½Apr, Augï¿½Sep",Morning/Evening,Yes,"BS, MBA, MS"
